# i |		 MEtot	|	 dMEtot 	|	 KEtot	|	 dKEtot 	|	 Pdvtot 	|	 dTEtot 	|	 Etot
350	,	5.88636e-05	,	3.99112e-07	,	2.57064e-06	,	2.63475e-07	,	7.32724e-06	,	1.37173e-07	,	6.87615e-05
351	,	5.91647e-05	,	4.00397e-07	,	2.91584e-06	,	2.99411e-07	,	7.46474e-06	,	1.44454e-07	,	6.95453e-05
352	,	5.94515e-05	,	4.01832e-07	,	3.29247e-06	,	3.37766e-07	,	7.60549e-06	,	1.51801e-07	,	7.03495e-05
353	,	5.97366e-05	,	4.03547e-07	,	3.71949e-06	,	3.80253e-07	,	7.75577e-06	,	1.59516e-07	,	7.12118e-05
354	,	6.00144e-05	,	4.05588e-07	,	4.19147e-06	,	4.26093e-07	,	7.91271e-06	,	1.67426e-07	,	7.21186e-05
355	,	6.02912e-05	,	4.08075e-07	,	4.72187e-06	,	4.76370e-07	,	8.07999e-06	,	1.75693e-07	,	7.30931e-05
356	,	6.05555e-05	,	4.10366e-07	,	5.28998e-06	,	5.28978e-07	,	8.25075e-06	,	1.83931e-07	,	7.40962e-05
357	,	6.08168e-05	,	4.12732e-07	,	5.92073e-06	,	5.86175e-07	,	8.43230e-06	,	1.92493e-07	,	7.51698e-05
358	,	6.10703e-05	,	4.16427e-07	,	6.60245e-06	,	6.46872e-07	,	8.62119e-06	,	2.01251e-07	,	7.62939e-05
359	,	6.13228e-05	,	4.20516e-07	,	7.34959e-06	,	7.12412e-07	,	8.82170e-06	,	2.10335e-07	,	7.74941e-05
360	,	6.15653e-05	,	4.25280e-07	,	8.12910e-06	,	7.80178e-07	,	9.02571e-06	,	2.19407e-07	,	7.87201e-05
361	,	6.18113e-05	,	4.31255e-07	,	8.96954e-06	,	8.52943e-07	,	9.24185e-06	,	2.28851e-07	,	8.00227e-05
362	,	6.20586e-05	,	4.37173e-07	,	9.85062e-06	,	9.29293e-07	,	9.46602e-06	,	2.38419e-07	,	8.13752e-05
363	,	6.23139e-05	,	4.43435e-07	,	1.07871e-05	,	1.01090e-06	,	9.70308e-06	,	2.48314e-07	,	8.28041e-05
364	,	6.25733e-05	,	4.50802e-07	,	1.17373e-05	,	1.09451e-06	,	9.94362e-06	,	2.58179e-07	,	8.42543e-05
365	,	6.28542e-05	,	4.59254e-07	,	1.27353e-05	,	1.18358e-06	,	1.01975e-05	,	2.68404e-07	,	8.57870e-05
366	,	6.31568e-05	,	4.68665e-07	,	1.37592e-05	,	1.27649e-06	,	1.04601e-05	,	2.78783e-07	,	8.73760e-05
367	,	6.34943e-05	,	4.78532e-07	,	1.48297e-05	,	1.37542e-06	,	1.07368e-05	,	2.89491e-07	,	8.90607e-05
368	,	6.38553e-05	,	4.87721e-07	,	1.58983e-05	,	1.47675e-06	,	1.10168e-05	,	3.00079e-07	,	9.07705e-05
369	,	6.42563e-05	,	4.96807e-07	,	1.70099e-05	,	1.58456e-06	,	1.13114e-05	,	3.10971e-07	,	9.25777e-05
370	,	6.46982e-05	,	5.03799e-07	,	1.81681e-05	,	1.69912e-06	,	1.16211e-05	,	3.22075e-07	,	9.44874e-05
