# time 	, fwhm gauss rho, J length, Bfrac length, current L/d, Bfrac L/d
0.10001, 0.110969, 0.380234, 0.334141, 3.426505e+00, 3.011128e+00
0.11002, 0.102569, 0.373828, 0.342578, 3.644640e+00, 3.339968e+00
0.12002, 0.094797, 0.367734, 0.351641, 3.879193e+00, 3.709422e+00
0.13002, 0.087985, 0.362109, 0.361172, 4.115590e+00, 4.104935e+00
0.14002, 0.082479, 0.357109, 0.370547, 4.329724e+00, 4.492646e+00
0.15000, 0.078616, 0.352734, 0.379297, 4.486811e+00, 4.824688e+00
0.16003, 0.076556, 0.348984, 0.387109, 4.558579e+00, 5.056584e+00
0.17000, 0.076275, 0.345859, 0.393984, 4.534377e+00, 5.165318e+00
0.18000, 0.077512, 0.343047, 0.399766, 4.425725e+00, 5.157467e+00
0.19001, 0.079923, 0.340391, 0.404609, 4.258972e+00, 5.062477e+00
0.20001, 0.083214, 0.338203, 0.408516, 4.064259e+00, 4.909220e+00
0.21003, 0.087236, 0.335859, 0.411641, 3.850016e+00, 4.718709e+00
0.22001, 0.091936, 0.333828, 0.414297, 3.631105e+00, 4.506377e+00
0.23001, 0.097325, 0.331797, 0.416484, 3.409176e+00, 4.279331e+00
0.24001, 0.103357, 0.329609, 0.418359, 3.189047e+00, 4.047723e+00
0.25003, 0.109942, 0.328828, 0.419141, 2.990917e+00, 3.812371e+00
0.26003, 0.116918, 0.326641, 0.419453, 2.793767e+00, 3.587595e+00
0.27002, 0.124128, 0.324609, 0.419609, 2.615115e+00, 3.380452e+00
0.28001, 0.131395, 0.322578, 0.419922, 2.455025e+00, 3.195873e+00
0.29001, 0.138504, 0.320703, 0.420391, 2.315486e+00, 3.035232e+00
0.30001, 0.145176, 0.318984, 0.421016, 2.197230e+00, 2.900042e+00
0.31002, 0.151053, 0.317266, 0.421641, 2.100362e+00, 2.791346e+00
0.32003, 0.155634, 0.315547, 0.422422, 2.027491e+00, 2.714197e+00
0.33002, 0.158146, 0.313984, 0.423203, 1.985405e+00, 2.676024e+00
0.34000, 0.157605, 0.312578, 0.424297, 1.983297e+00, 2.692148e+00
0.35003, 0.153086, 0.311172, 0.425391, 2.032660e+00, 2.778768e+00
0.36002, 0.145280, 0.309766, 0.426797, 2.132198e+00, 2.937754e+00
0.37001, 0.136750, 0.308516, 0.428203, 2.256060e+00, 3.131290e+00
0.38001, 0.129182, 0.307266, 0.429766, 2.378551e+00, 3.326827e+00
0.39001, 0.122798, 0.306172, 0.431641, 2.493306e+00, 3.515059e+00
0.40001, 0.117374, 0.305078, 0.433359, 2.599204e+00, 3.692135e+00
0.41001, 0.112682, 0.303984, 0.435391, 2.697716e+00, 3.863884e+00
0.42003, 0.108541, 0.303047, 0.437891, 2.791999e+00, 4.034328e+00
0.43002, 0.104872, 0.302109, 0.440703, 2.880739e+00, 4.202288e+00
0.44001, 0.101583, 0.301172, 0.443828, 2.964792e+00, 4.369127e+00
0.45002, 0.099487, 0.300391, 0.447734, 3.019388e+00, 4.500419e+00
0.46002, 0.100084, 0.299453, 0.452578, 2.992006e+00, 4.521965e+00
0.47003, 0.100880, 0.298672, 0.459453, 2.960659e+00, 4.554443e+00
0.48002, 0.101784, 0.298203, 0.468516, 2.929759e+00, 4.603030e+00
0.49001, 0.102735, 0.297422, 0.482109, 2.895034e+00, 4.692739e+00
0.50003, 0.103702, 0.296641, 0.504141, 2.860504e+00, 4.861426e+00
0.51001, 0.104640, 0.295859, 0.731641, 2.827402e+00, 6.991977e+00
0.52002, 0.105530, 0.295547, 0.731172, 2.800589e+00, 6.928553e+00
0.53002, 0.106369, 0.295234, 0.729766, 2.775567e+00, 6.860696e+00
0.54003, 0.107188, 0.294609, 0.727734, 2.748517e+00, 6.789296e+00
0.55003, 0.107999, 0.294453, 0.725078, 2.726432e+00, 6.713722e+00
0.56003, 0.108801, 0.294609, 0.721953, 2.707789e+00, 6.635554e+00
0.57003, 0.109593, 0.294609, 0.718359, 2.688202e+00, 6.554765e+00
0.58002, 0.110306, 0.294609, 0.714297, 2.670846e+00, 6.475614e+00
0.59003, 0.110882, 0.294922, 0.709766, 2.659781e+00, 6.401088e+00
0.60003, 0.111273, 0.295391, 0.704766, 2.654644e+00, 6.333653e+00
0.61002, 0.111431, 0.295703, 0.699453, 2.653678e+00, 6.276983e+00
0.62001, 0.111342, 0.296172, 0.693828, 2.660019e+00, 6.231502e+00
0.63002, 0.111036, 0.296484, 0.687891, 2.670166e+00, 6.195208e+00
0.64002, 0.110657, 0.297266, 0.681797, 2.686359e+00, 6.161329e+00
0.65001, 0.110430, 0.298203, 0.675547, 2.700382e+00, 6.117423e+00
0.66000, 0.110615, 0.299453, 0.669141, 2.707167e+00, 6.049280e+00
0.67002, 0.111433, 0.301484, 0.662891, 2.705513e+00, 5.948763e+00
0.68003, 0.112904, 0.304297, 0.656641, 2.695185e+00, 5.815926e+00
0.69002, 0.114805, 0.307422, 0.650234, 2.677782e+00, 5.663831e+00
0.70001, 0.116761, 0.310234, 0.644297, 2.657007e+00, 5.518091e+00
