time, 1sd gauss rho, J length, Bfrac length, current L/d, Bfrac L/d, v_A	, mach_A_in
0.10001, 0.047221, 0.683984, 0.334141, 1.448485e+01, 7.076152e+00, 4.047499e-01, 5.593432e-01
0.11002, 0.043647, 0.676328, 0.342578, 1.549558e+01, 7.848924e+00, 4.177653e-01, 5.477613e-01
0.12002, 0.040339, 0.669297, 0.351641, 1.659181e+01, 8.717141e+00, 4.320570e-01, 5.140637e-01
0.13002, 0.037440, 0.662734, 0.361172, 1.770108e+01, 9.646597e+00, 4.522349e-01, 4.603349e-01
0.14002, 0.035097, 0.656797, 0.370547, 1.871363e+01, 1.055772e+01, 4.777050e-01, 3.930191e-01
0.15000, 0.033454, 0.651172, 0.379297, 1.946496e+01, 1.133802e+01, 5.037224e-01, 3.209879e-01
0.16003, 0.032577, 0.646172, 0.387109, 1.983533e+01, 1.188297e+01, 5.367461e-01, 2.536112e-01
0.17000, 0.032457, 0.641641, 0.393984, 1.976868e+01, 1.213850e+01, 5.766373e-01, 1.968189e-01
0.18000, 0.032984, 0.637734, 0.399766, 1.933476e+01, 1.212005e+01, 6.198969e-01, 1.508809e-01
0.19001, 0.034010, 0.634297, 0.404609, 1.865038e+01, 1.189682e+01, 6.621555e-01, 1.146876e-01
0.20001, 0.035410, 0.631328, 0.408516, 1.782899e+01, 1.153667e+01, 7.077513e-01, 8.690845e-02
0.21003, 0.037122, 0.628984, 0.411641, 1.694387e+01, 1.108897e+01, 7.483467e-01, 6.531651e-02
0.22001, 0.039122, 0.627109, 0.414297, 1.602976e+01, 1.058999e+01, 7.885010e-01, 4.900840e-02
0.23001, 0.041415, 0.625547, 0.416484, 1.510445e+01, 1.005643e+01, 8.304429e-01, 3.098385e-02
0.24001, 0.043982, 0.624453, 0.418359, 1.419806e+01, 9.512150e+00, 8.671044e-01, 1.612890e-02
0.25003, 0.046784, 0.623828, 0.419141, 1.333424e+01, 8.959071e+00, 9.032725e-01, 4.943919e-03
0.26003, 0.049752, 0.623672, 0.419453, 1.253557e+01, 8.430848e+00, 9.358286e-01, 3.511093e-03
0.27002, 0.052820, 0.623828, 0.419609, 1.181034e+01, 7.944063e+00, 9.686768e-01, 9.988633e-03
0.28001, 0.055913, 0.624297, 0.419922, 1.116555e+01, 7.510301e+00, 9.980989e-01, 1.287685e-02
0.29001, 0.058938, 0.625078, 0.420391, 1.060574e+01, 7.132796e+00, 1.024831e+00, 1.248768e-02
0.30001, 0.061777, 0.626328, 0.421016, 1.013855e+01, 6.815098e+00, 1.047428e+00, 1.192955e-02
0.31002, 0.064278, 0.627734, 0.421641, 9.765960e+00, 6.559662e+00, 1.065044e+00, 1.127354e-02
0.32003, 0.066227, 0.629453, 0.422422, 9.504435e+00, 6.378364e+00, 1.078217e+00, 1.056242e-02
0.33002, 0.067296, 0.631484, 0.423203, 9.383645e+00, 6.288656e+00, 1.086025e+00, 9.828164e-03
0.34000, 0.067066, 0.633828, 0.424297, 9.450798e+00, 6.326548e+00, 1.083649e+00, 9.047872e-03
0.35003, 0.065143, 0.636484, 0.425391, 9.770572e+00, 6.530105e+00, 1.065831e+00, 8.222753e-03
0.36002, 0.061821, 0.639297, 0.426797, 1.034105e+01, 6.903723e+00, 1.032636e+00, 7.390491e-03
0.37001, 0.058191, 0.642422, 0.428203, 1.103981e+01, 7.358531e+00, 9.963434e-01, 6.628007e-03
0.38001, 0.054971, 0.645859, 0.429766, 1.174909e+01, 7.818044e+00, 9.643321e-01, 5.959252e-03
0.39001, 0.052254, 0.649453, 0.431641, 1.242871e+01, 8.260390e+00, 9.341238e-01, 5.365118e-03
0.40001, 0.049946, 0.653359, 0.433359, 1.308125e+01, 8.676516e+00, 9.094597e-01, 4.846180e-03
0.41001, 0.047950, 0.657422, 0.435391, 1.371062e+01, 9.080127e+00, 8.875263e-01, 4.382235e-03
0.42003, 0.046188, 0.661953, 0.437891, 1.433180e+01, 9.480670e+00, 8.649948e-01, 3.958237e-03
0.43002, 0.044626, 0.666641, 0.440703, 1.493824e+01, 9.875377e+00, 8.455709e-01, 3.578197e-03
0.44001, 0.043227, 0.671641, 0.443828, 1.553763e+01, 1.026745e+01, 8.295364e-01, 3.234537e-03
0.45002, 0.042335, 0.676953, 0.447734, 1.599039e+01, 1.057599e+01, 8.171315e-01, 2.920891e-03
0.46002, 0.042589, 0.682422, 0.452578, 1.602339e+01, 1.062662e+01, 8.202722e-01, 2.647564e-03
0.47003, 0.042928, 0.688203, 0.459453, 1.603166e+01, 1.070294e+01, 8.234651e-01, 2.390366e-03
0.48002, 0.043312, 0.694141, 0.468516, 1.602636e+01, 1.081712e+01, 8.267063e-01, 2.149219e-03
0.49001, 0.043717, 0.700234, 0.482109, 1.601740e+01, 1.102794e+01, 8.299938e-01, 1.930639e-03
0.50003, 0.044129, 0.706484, 0.504141, 1.600967e+01, 1.142435e+01, 8.333200e-01, 1.728439e-03
0.51001, 0.044528, 0.712891, 0.731641, 1.601006e+01, 1.643115e+01, 8.404338e-01, 1.548710e-03
0.52002, 0.044906, 0.719453, 0.731172, 1.602114e+01, 1.628210e+01, 8.438119e-01, 1.384679e-03
0.53002, 0.045263, 0.726328, 0.729766, 1.604669e+01, 1.612264e+01, 8.472257e-01, 1.230638e-03
0.54003, 0.045612, 0.733359, 0.727734, 1.607817e+01, 1.595485e+01, 8.506773e-01, 1.076350e-03
0.55003, 0.045957, 0.740391, 0.725078, 1.611044e+01, 1.577725e+01, 8.541696e-01, 9.145932e-04
0.56003, 0.046298, 0.747734, 0.721953, 1.615040e+01, 1.559355e+01, 8.577171e-01, 7.037502e-04
0.57003, 0.046636, 0.755391, 0.718359, 1.619775e+01, 1.540370e+01, 8.613798e-01, 3.129323e-04
0.58002, 0.046939, 0.762891, 0.714297, 1.625296e+01, 1.521769e+01, 8.651381e-01, 1.149727e-04
0.59003, 0.047184, 0.770703, 0.709766, 1.633405e+01, 1.504256e+01, 8.689862e-01, 5.196329e-04
0.60003, 0.047350, 0.778516, 0.704766, 1.644163e+01, 1.488408e+01, 8.729229e-01, 8.922485e-04
0.61002, 0.047418, 0.786641, 0.699453, 1.658963e+01, 1.475091e+01, 8.733883e-01, 1.232485e-03
0.62001, 0.047380, 0.796641, 0.693828, 1.681400e+01, 1.464403e+01, 8.739818e-01, 1.397336e-03
0.63002, 0.047249, 0.805703, 0.687891, 1.705216e+01, 1.455874e+01, 8.710895e-01, 1.412812e-03
0.64002, 0.047088, 0.813203, 0.681797, 1.726976e+01, 1.447912e+01, 8.718296e-01, 1.382771e-03
0.65001, 0.046991, 0.821328, 0.675547, 1.747823e+01, 1.437594e+01, 8.726146e-01, 1.306167e-03
0.66000, 0.047070, 0.819453, 0.669141, 1.740918e+01, 1.421581e+01, 8.734423e-01, 1.200688e-03
0.67002, 0.047418, 0.821953, 0.662891, 1.733404e+01, 1.397959e+01, 8.778828e-01, 9.811581e-04
0.68003, 0.048044, 0.823828, 0.656641, 1.714730e+01, 1.366743e+01, 8.857258e-01, 1.290380e-04
0.69002, 0.048853, 0.839453, 0.650234, 1.718323e+01, 1.331000e+01, 8.902418e-01, 1.793907e-02
0.70001, 0.049685, 0.843203, 0.644297, 1.697082e+01, 1.296751e+01, 8.949826e-01, 1.865755e-02
0.71003, 0.050445, 0.842578, 0.637422, 1.670284e+01, 1.263593e+01, 9.035423e-01, 1.812049e-02
0.72002, 0.051080, 0.838828, 0.631328, 1.642187e+01, 1.235961e+01, 9.088404e-01, 1.762529e-02
0.73003, 0.051476, 0.840703, 0.626328, 1.633202e+01, 1.216744e+01, 9.109171e-01, 1.716989e-02
0.74002, 0.051532, 0.843828, 0.620859, 1.637487e+01, 1.204806e+01, 9.082672e-01, 1.182105e-02
0.75001, 0.051361, 0.822578, 0.614922, 1.601549e+01, 1.197245e+01, 9.050727e-01, 2.499030e-03
0.76001, 0.051128, 0.816953, 0.607891, 1.597873e+01, 1.188969e+01, 9.036817e-01, 3.222230e-03
0.77003, 0.050905, 0.813828, 0.601484, 1.598712e+01, 1.181577e+01, 9.026125e-01, 3.320710e-03
0.78002, 0.050755, 0.811953, 0.595078, 1.599749e+01, 1.172451e+01, 9.050995e-01, 3.523947e-03
0.79001, 0.050637, 0.810391, 0.587266, 1.600393e+01, 1.159756e+01, 9.043557e-01, 3.831162e-03
0.80003, 0.050304, 0.810391, 0.581328, 1.610977e+01, 1.155623e+01, 9.038022e-01, 4.421395e-03
0.81001, 0.049764, 0.810703, 0.576016, 1.629086e+01, 1.157488e+01, 8.999677e-01, 5.251961e-03
0.82002, 0.048959, 0.810391, 0.568672, 1.655236e+01, 1.161522e+01, 8.963542e-01, 6.278768e-03
0.83002, 0.048385, 0.810391, 0.563047, 1.674876e+01, 1.163678e+01, 8.929759e-01, 7.296289e-03
0.84002, 0.048134, 0.799453, 0.555859, 1.660902e+01, 1.154824e+01, 8.934797e-01, 8.229757e-03
0.85002, 0.047848, 0.798203, 0.548203, 1.668198e+01, 1.145713e+01, 8.942216e-01, 8.915843e-03
0.86000, 0.047318, 0.798203, 0.542266, 1.686881e+01, 1.145996e+01, 8.951491e-01, 9.303974e-03
0.87002, 0.046697, 0.799141, 0.534141, 1.711349e+01, 1.143855e+01, 8.924258e-01, 9.276396e-03
0.88003, 0.045816, 0.798828, 0.525234, 1.743540e+01, 1.146388e+01, 8.859600e-01, 9.583143e-03
0.89002, 0.044891, 0.799141, 0.515703, 1.780162e+01, 1.148778e+01, 8.793300e-01, 9.657267e-03
0.90001, 0.044533, 0.800391, 0.504922, 1.797299e+01, 1.133816e+01, 8.806150e-01, 9.560686e-03
0.91002, 0.045182, 0.802266, 0.493203, 1.775625e+01, 1.091589e+01, 8.940704e-01, 9.442454e-03
0.92001, 0.046113, 0.798516, 0.480703, 1.731648e+01, 1.042445e+01, 9.114405e-01, 9.444674e-03
0.93002, 0.045902, 0.798828, 0.468047, 1.740293e+01, 1.019667e+01, 9.132533e-01, 8.861023e-03
0.94001, 0.044349, 0.799766, 0.455078, 1.803365e+01, 1.026141e+01, 8.987928e-01, 8.445219e-03
0.95003, 0.042861, 0.778516, 0.441641, 1.816373e+01, 1.030402e+01, 8.834146e-01, 8.444360e-03
0.96002, 0.042861, 0.778516, 0.428047, 1.816364e+01, 9.986813e+00, 8.894322e-01, 8.930434e-03
0.97003, 0.043569, 0.778828, 0.414297, 1.787580e+01, 9.509014e+00, 9.086502e-01, 9.628195e-03
0.98003, 0.043599, 0.779453, 0.400234, 1.787760e+01, 9.179810e+00, 9.152595e-01, 1.031338e-02
0.99003, 0.042904, 0.780391, 0.386016, 1.818903e+01, 8.997098e+00, 9.135917e-01, 1.095655e-02
1.00001, 0.042906, 0.782891, 0.371953, 1.824655e+01, 8.668976e+00, 9.207758e-01, 1.158158e-02
